--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
08-20 20:35:54.710 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesActivity;---><init>()V
08-20 20:35:54.710 D/M_InsDal( 2399): Lcom/notriddle/budget/LockedActivity;---><init>()V
08-20 20:35:54.760 D/M_InsDal( 2399): Lcom/notriddle/budget/LockedActivity;--->onCreate(Landroid/os/Bundle;)V
08-20 20:35:54.770 D/M_InsDal( 2399): Lcom/notriddle/budget/LockedActivity;--->check()V
08-20 20:35:54.770 D/M_InsDal( 2399): Lcom/notriddle/budget/PinActivity;--->ensureUnlocked(Landroid/app/Activity;)Z
08-20 20:35:54.770 D/M_InsDal( 2399): Lcom/notriddle/budget/PinActivity;--->notify(Landroid/app/Activity;)V
08-20 20:35:54.770 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesActivity;--->onCreate(Landroid/os/Bundle;)V
08-20 20:35:54.830 D/M_InsDal( 2399): Lcom/notriddle/budget/MonitorScrollView;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:35:54.900 D/M_InsDal( 2399): Lcom/notriddle/budget/TACGridView;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:35:54.980 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesActivity;--->onCreateLoader(ILandroid/os/Bundle;)Landroid/content/Loader;
08-20 20:35:54.980 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesOpenHelper;---><clinit>()V
08-20 20:35:54.980 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesOpenHelper;---><init>(Landroid/content/Context;)V
08-20 20:35:54.980 D/M_InsDal( 2399): Lcom/notriddle/budget/SQLiteLoader;---><init>(Landroid/content/Context;Landroid/database/sqlite/SQLiteOpenHelper;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;B)V
08-20 20:35:54.990 D/M_InsDal( 2399): Lcom/notriddle/budget/SQLiteLoader;---><init>(Landroid/content/Context;Landroid/database/sqlite/SQLiteOpenHelper;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;)V
08-20 20:35:55.030 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesOpenHelper;--->onCreate(Landroid/database/sqlite/SQLiteDatabase;)V
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/SQLiteLoader;--->setNotificationUri(Landroid/net/Uri;)V
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;---><init>(Landroid/content/Context;)V
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;---><init>(Landroid/app/Activity;Lcom/notriddle/budget/DeleteAdapter$Deleter;Landroid/widget/ListAdapter;I)V
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter$1;---><init>(Lcom/notriddle/budget/DeleteAdapter;)V
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->hasStableIds()Z
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->registerDataSetObserver(Landroid/database/DataSetObserver;)V
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getViewTypeCount()I
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/MonitorScrollView;--->setOnScrollListener(Lcom/notriddle/budget/MonitorScrollView$OnScrollListener;)V
08-20 20:35:55.040 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesActivity;--->setGraphVisible(Z)V
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/SQLiteLoader;--->onStartLoading()V
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/LockedActivity;--->onResume()V
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/LockedActivity;--->check()V
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/PinActivity;--->ensureUnlocked(Landroid/app/Activity;)Z
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/PinActivity;--->notify(Landroid/app/Activity;)V
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesActivity;--->onResume()V
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesActivity$1;---><init>(Lcom/notriddle/budget/EnvelopesActivity;)V
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/SQLiteLoader;--->loadInBackground()Landroid/database/Cursor;
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesActivity$1;--->doInBackground([Ljava/lang/Object;)Ljava/lang/Object;
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesOpenHelper;--->playLog(Landroid/content/Context;)V
08-20 20:35:55.050 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesOpenHelper;---><init>(Landroid/content/Context;)V
08-20 20:35:55.060 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesOpenHelper;--->playLog(Landroid/database/sqlite/SQLiteDatabase;)V
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesActivity;--->loadEnvelopesData(Landroid/database/Cursor;)V
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getDeletedId()J
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getDeletedId()J
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getDeletedId()J
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter$1;--->onChanged()V
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->hasStableIds()Z
08-20 20:35:55.070 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:35:55.080 D/M_InsDal( 2399): Lcom/notriddle/budget/TACGridView;--->onMeasure(II)V
08-20 20:35:55.080 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:35:55.080 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;---><init>(Landroid/content/Context;)V
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->init(Landroid/content/Context;)V
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView$1;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView$2;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView$3;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->setSwipeBackgroundResource(I)V
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->newView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;---><clinit>()V
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:35:55.090 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter$CardContents;---><init>(Landroid/view/View;)V
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
